,Datum,Leistung erneuerbar (MW),Leistung erneuerbar (GW)
117,2020-04-27,20297.779583333333,20.297779583333334
118,2020-04-28,18643.84375,18.64384375
119,2020-04-29,20521.923749999998,20.52192375
120,2020-04-30,30735.79875,30.73579875
121,2020-05-01,30187.06125,30.18706125
122,2020-05-02,27623.12833333333,27.62312833333333
123,2020-05-03,20646.749166666665,20.646749166666666
124,2020-05-04,20229.04,20.22904
125,2020-05-05,25526.48875,25.526488750000002
126,2020-05-06,28210.547916666666,28.210547916666666
127,2020-05-07,23801.911666666667,23.801911666666665
128,2020-05-08,20730.716666666667,20.730716666666666
129,2020-05-09,18712.85375,18.712853749999997
130,2020-05-10,24418.141666666666,24.418141666666667
131,2020-05-11,37446.97583333334,37.44697583333334
132,2020-05-12,28902.876666666667,28.902876666666668
133,2020-05-13,21138.03625,21.138036250000003
